iter	Passed	Remaining
0	1	195
1	5	272
2	7	250
3	9	231
4	12	234
5	18	286
6	19	265
7	21	250
8	23	238
9	25	228
10	27	220
11	29	213
12	31	207
13	34	212
14	36	208
15	38	202
16	40	196
17	41	191
18	43	186
19	45	182
20	47	179
21	49	175
22	51	173
23	54	172
24	57	172
25	60	172
26	63	172
27	66	171
28	69	169
29	72	169
30	74	165
31	76	162
32	77	158
33	80	155
34	82	153
35	84	150
36	86	146
37	88	144
38	91	143
39	93	140
40	95	137
41	96	133
42	97	129
43	99	126
44	101	124
45	104	122
46	106	120
47	108	117
48	109	113
49	111	111
50	113	108
51	115	106
52	118	104
53	120	102
54	121	99
55	123	96
56	124	93
57	126	91
58	128	88
59	130	86
60	133	85
61	134	82
62	136	80
63	138	77
64	141	76
65	143	73
66	146	72
67	149	70
68	150	67
69	152	65
70	153	62
71	156	60
72	158	58
73	160	56
74	161	53
75	163	51
76	166	49
77	168	47
78	169	45
79	171	42
80	176	41
81	178	39
82	186	38
83	192	36
84	198	35
85	201	32
86	206	30
87	210	28
88	212	26
89	214	23
90	216	21
91	219	19
92	220	16
93	222	14
94	224	11
95	225	9
96	228	7
97	229	4
98	231	2
99	232	0
